Num_expediente,Tipo_accidente
2015S003074,Atropello
2015S008511,Caída interior vehículo
2015S001230,Choque contra elemento estático
2015S000061,Alcance
2015S006581,Alcance multiple
2015S000056,Colisión fronto-lateral
2015S009862,Colisión fronto-lateral
2015S000633,Caída (dos ruedas)
2015S006759,Colisión lateral
2015S007726,Atropello
2015S005007,Caída (dos ruedas)
2015S009677,Atropello
2015S000515,Colisión fronto-lateral
2015S006094,Caída (dos ruedas)
2015S002240,Alcance
2015S003163,Otros
2015S000869,Otros
2015S003325,Alcance
2015S003169,Atropello
2015S008395,Colisión lateral
2015S007536,Alcance multiple
2015S002919,Colisión fronto-lateral
2015S007728,Choque contra elemento estático
2015S004502,Colisión fronto-lateral
2015S004008,Alcance
2015S004341,Alcance
2015S008959,Choque contra elemento estático
2015S009621,Colisión lateral
2015S002125,Colisión lateral
2015S008393,Caída interior vehículo
2015S009685,Caída (dos ruedas)
2015S005145,Colisión lateral
2015S004722,Colisión lateral
2015S003242,Colisión lateral
2015S008182,Colisión frontal
2015S002982,Colisión lateral
2015S007405,Colisión fronto-lateral
2015S009370,Alcance multiple
2015S001362,Colisión lateral
2015S008528,Alcance
2015S006191,Colisión fronto-lateral
2015S007818,Colisión lateral
2015S006790,Alcance
2015S009121,Colisión lateral
2015S008310,Colisión lateral
2015S004259,Colisión lateral
2015S006220,Colisión lateral
2015S005577,Alcance
2015S007645,Atropello
2015S002936,Atropello
2015S007556,Alcance
2015S001691,Caída (dos ruedas)
2015S009439,Colisión fronto-lateral
2015S008641,Colisión lateral
2015S006990,Colisión fronto-lateral
2015S005224,Alcance
2015S005363,Colisión frontal
2015S007246,Choque contra elemento estático
2015S007139,Colisión fronto-lateral
2015S003231,Choque contra elemento estático
2015S009264,Caída (dos ruedas)
2015S009616,Atropello
2015S001032,Colisión lateral
2015S001712,Atropello
2015S006637,Atropello
2015S001621,Atropello
2015S007613,Colisión fronto-lateral
2015S008871,Alcance
2015S002379,Colisión lateral
2015S010011,Atropello
2015S000999,Colisión fronto-lateral
2015S001444,Colisión fronto-lateral
2015S000808,Colisión lateral
2015S000954,Colisión lateral
2015S007849,Atropello
2015S003536,Colisión lateral
2015S003224,Caída (dos ruedas)
2015S006467,Colisión lateral
2015S008943,Colisión lateral
2015S006588,Colisión lateral
2015S002234,Alcance
2015S008275,Colisión lateral
2015S002404,Colisión lateral
2015S006619,Alcance
2015S001095,Alcance
2015S009976,Alcance
2015S002812,Alcance
2015S009078,Alcance
2015S005342,Colisión lateral
2015S008984,Atropello
2015S003817,Caída (dos ruedas)
2015S005504,Caída (dos ruedas)
2015S002501,Colisión fronto-lateral
2015S008416,Colisión lateral
2015S006219,Colisión fronto-lateral
2015S003474,Colisión lateral
2015S009674,Alcance multiple
2015S007064,Colisión lateral
2015S002478,Alcance
2015S004235,Colisión fronto-lateral
2015S006741,Vuelco (más de dos ruedas)
2015S009803,Caída (dos ruedas)
2015S008256,Colisión fronto-lateral
2015S007039,Colisión lateral
2015S003289,Alcance
2015S006302,Colisión lateral
2015S002761,Colisión fronto-lateral
2015S006212,Caída (dos ruedas)
2015S007679,Colisión fronto-lateral
2015S007189,Alcance
2015S009909,Colisión fronto-lateral
2015S007028,Colisión lateral
2015S009715,Colisión fronto-lateral
2015S001924,Colisión lateral
2015S006255,Alcance
2015S005289,Colisión fronto-lateral
2015S006327,Colisión fronto-lateral
2015S004129,Caída (dos ruedas)
2015S009120,Atropello
2015S005919,Atropello
2015S008672,Alcance
2015S008274,Alcance
2015S002335,Alcance
2015S000530,Alcance multiple
2015S005564,Alcance
2015S001050,Atropello
2015S008784,Caída (dos ruedas)
2015S000117,Colisión lateral
2015S007388,Colisión lateral
2015S001808,Colisión fronto-lateral
2015S008371,Alcance
2015S000983,Colisión fronto-lateral
2015S001759,Alcance
2015S008844,Colisión fronto-lateral
2015S000111,Alcance
2015S001570,Caída interior vehículo
2015S004298,Colisión fronto-lateral
2015S006938,Colisión fronto-lateral
2015S009068,Caída (dos ruedas)
