Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S002414,Motocicleta,NT 650,HONDA,Negro,Desconocido,Desconocido
2015S001286,Motocicleta,Dylan 125,HONDA,Gris,B,18
2015S005712,Turismo,C4,CITROEN,granate,B,47
2015S005659,Turismo,ASTRA,OPEL,Gris,B,6
2015S008960,Turismo,CORSA,OPEL,Azul,B,2
2015S009843,Turismo,626,MAZDA,Negro,B,25
2015S004609,Turismo,SCENIC,RENAULT,Negro,B,4
2015S007376,Motocicleta,CBF 125,HONDA,Blanco,A1,1
2015S000578,Turismo,JETTA,VOLKSWAGEN,Negro,B,1
2015S006196,Turismo,307,PEUGEOT,Negro,B,0
2015S007509,Turismo,GOLF,VOLKSWAGEN,Gris,B,2
2015S001313,Turismo,Desconocido,ISUZU,Verde,B,12
2015S004359,Tranvía o tren,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S009072,Turismo,LACETTI,CHEVROLET,Rojo,B,5
2015S006471,Turismo,330,BMW,Azul,B,11
2015S003615,"Camión <= 3,5 Tm",Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S003161,Motocicleta,XC 125,YAMAHA,Blanco,B,4
2015S002208,Turismo,IBIZA,SEAT,Blanco,B,13
2015S006134,Ciclomotor,FE 051 ST,PEUGEOT,Negro,B,8
2015S008625,Turismo,ASTRA,OPEL,Negro,B,25
2015S004614,Turismo,CLIO,RENAULT,Negro,B,25
2015S006714,Turismo,A3,AUDI,Gris,B,1
2015S003270,Motocicleta,ROADWIN,DAELIM,Negro,Desconocido,8
2015S004492,Turismo,SCENIC,RENAULT,Gris,Desconocido,Desconocido
2015S004492,Turismo,IBIZA,SEAT,Blanco,B,4
2015S005623,Motocicleta,DL 650,SUZUKI,Rojo,A,19
2015S007876,Motocicleta,AQUILA,HYOSUNG,Negro,B,8
2015S006948,Turismo,LEON,SEAT,Gris,B,8
2015S007172,Turismo,CORDOBA,SEAT,Gris,B,23
2015S007621,Autobús,Desconocido,MAN,Rojo,D,25
2015S009831,Furgoneta,C4 PICASSO,CITROEN,Negro,B,2
2015S002757,Turismo,VECTRA,OPEL,Blanco,B,3
