Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S006340    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal / Casanova                               ,0455 0459,Dijous,Dj,Laboral,2017,7,Juliol,20,14,Tarda,Caiguda interior vehicle,"428859,23","4582978,36","2,147,905","41,393,346"
2017S008909    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló                                          ,0304 0304,Divendres,Dv,Laboral,2017,10,Octubre,27,19,Tarda,Abast,"430472,32","4583761,17","2,167,108","41,400,539"
2017S010056    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló / Sant Joan                              ,0306 0306,Divendres,Dv,Laboral,2017,12,Desembre,1,22,Nit,Col.lisió fronto-lateral,"430481,08","4583769,76","2,167,214","41,400,612"
2017S010335    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal / Girona                                 ,0343 0343,Dijous,Dj,Laboral,2017,12,Desembre,14,13,Matí,Col.lisió fronto-lateral,"430418,71","4583483,77","2,166,494","41,398,031"
2017S000018    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,180208,MUNTANER                                          ,0071 0071,Diumenge,Dg,Laboral,2017,1,Gener,1,19,Tarda,Abast,"428947,81","4582857,90","2,148,972","41,392,264"
2017S001139    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,180208,MUNTANER                                          ,0071 0071,Divendres,Dv,Laboral,2017,2,Febrer,10,17,Tarda,Abast,"428947,81","4582857,90","2,148,972","41,392,264"
2017S005163    ,2,Eixample,7,la Dreta de l'Eixample,31300,Bailèn / Rosselló                                 ,0155 0159,Dimarts,Dm,Laboral,2017,6,Juny,13,7,Matí,Caiguda (dues rodes),"430380,49","4583729,61","2,166,011","41,400,243"
2017S002120    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90502,MUNTANER                                          ,0184 0184,Dijous,Dj,Laboral,2017,3,Març,16,16,Tarda,Atropellament,"429064,12","4582566,57","2,150,405","41,389,653"
2017S009294    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,245802,París / Villarroel                                ,0133 0133,Divendres,Dv,Laboral,2017,11,Novembre,10,7,Matí,Abast multiple,"428955,85","4582678,41","2,149,089","41,390,653"
2017S000110    ,2,Eixample,7,la Dreta de l'Eixample,145003,ROSSELLÓ / Pg Sant Joan                           ,0166 0166,Dijous,Dj,Laboral,2017,1,Gener,5,12,Matí,Caiguda (dues rodes),"430276,63","4583675,54","2,164,773","41,399,748"
2017S008141    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Girona                                    ,0319 0319,Dimarts,Dm,Laboral,2017,10,Octubre,3,8,Matí,Col.lisió lateral,"430697,45","4583267,95","2,169,856","4,139,611"
2017S003783    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell                                    ,0196 0196,Divendres,Dv,Laboral,2017,4,Abril,28,13,Matí,Col.lisió lateral,"429117,70","4582381,48","2,151,061","41,387,992"
2017S006702    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell / Rosselló                         ,0202 0202,Dimecres,Dc,Laboral,2017,8,Agost,2,19,Tarda,Col.lisió lateral,"429101,84","4582400,97","2,150,867","41,388,162"
2017S006311    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,Villarroel / Provença                             ,0171 0171,Dimecres,Dc,Laboral,2017,7,Juliol,19,13,Matí,Caiguda interior vehicle,"429236,26","4582414,06","215,248","413,883"
2017S003158    ,2,Eixample,7,la Dreta de l'Eixample,145003,València / Girona                                 ,0109 0109,Dimecres,Dc,Laboral,2017,4,Abril,5,18,Tarda,Col.lisió fronto-lateral,"430568,48","4583345,77","2,168,304","41,396,801"
2017S001940    ,2,Eixample,7,la Dreta de l'Eixample,145003,GIRONA                                            ,0115 0115,Dijous,Dj,Laboral,2017,3,Març,9,17,Tarda,Col.lisió lateral,"430549,52","4583365,19","2,168,074","41,396,979"
2017S009376    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,Villarroel                                        ,0181 0181,Dissabte,Ds,Laboral,2017,11,Novembre,11,20,Tarda,Bolcada (més de dues rodes),"429189,73","4582461,60","2,151,913","41,388,719"
2017S006355    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,Còrsega / Villarroel                              ,0201 0203,Dijous,Dj,Laboral,2017,7,Juliol,20,21,Tarda,Atropellament,"429087,12","4582566,37","2,150,681","41,389,655"
2017S008379    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87009,Sarrià / Comte Borrell                            ,0306 0306,Dimecres,Dc,Laboral,2017,10,Octubre,11,8,Matí,Col.lisió lateral,"428662,72","4582646,51","2,145,588","41,390,338"
2017S008679    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó                                             ,0349 0349,Divendres,Dv,Laboral,2017,10,Octubre,20,13,Matí,Abast multiple,"430822,30","4583390,52","2,171,337","41,397,228"
2017S010708    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova                                          ,0161 0161,Dimecres,Dc,Laboral,2017,12,Desembre,27,17,Tarda,Abast,"429104,91","4582740,58","2,150,863","41,391,224"
2017S004164    ,2,Eixample,7,la Dreta de l'Eixample,49509,Diagonal / Bruc                                   ,0152 0152,Dimecres,Dc,Laboral,2017,5,Maig,10,17,Tarda,Col.lisió fronto-lateral,"430267,41","4583493,31","2,164,686","41,398,108"
2017S001173    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90502,VILLARROEL                                        ,0219 0219,Diumenge,Dg,Laboral,2017,2,Febrer,12,14,Tarda,Caiguda interior vehicle,"429228,86","4582758,48","2,152,344","41,391,397"
2017S009581    ,2,Eixample,7,la Dreta de l'Eixample,225500,Nàpols / Rosselló                                 ,0269 0269,Dissabte,Ds,Laboral,2017,11,Novembre,18,10,Matí,Col.lisió fronto-lateral,"430703,37","4583970,56","2,169,847","41,402,442"
2017S006482    ,2,Eixample,7,la Dreta de l'Eixample,191204,Mallorca / Bruc                                   ,0294 0294,Dimarts,Dm,Laboral,2017,7,Juliol,25,10,Matí,Caiguda (dues rodes),"430433,16","4583347,35","2,166,689","41,396,807"
2017S006319    ,2,Eixample,7,la Dreta de l'Eixample,191204,Girona / Mallorca                                 ,0312 0312,Dimecres,Dc,Laboral,2017,7,Juliol,19,20,Tarda,Col.lisió fronto-lateral,"430490,80","4583403,85","2,167,364","41,397,317"
2017S000377    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,245802,PARÍS / Villarroel                                ,0160 0160,Dissabte,Ds,Laboral,2017,1,Gener,14,21,Tarda,Col.lisió lateral,"429149,32","4582837,12","215,139","41,392,102"
2017S009954    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,Villarroel                                        ,0172 0174,Dimecres,Dc,Laboral,2017,11,Novembre,29,14,Tarda,Col.lisió fronto-lateral,"429060,10","4582625,36","2,150,351","41,390,184"
2017S001882    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,COMTE D'URGELL                                    ,0176 0176,Dimarts,Dm,Laboral,2017,3,Març,7,19,Tarda,Atropellament,"429050,96","4582634,69","215,023","41,390,265"
2017S010013    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Sant Joan                                 ,0357 0357,Dijous,Dj,Laboral,2017,11,Novembre,30,19,Tarda,Abast,"430898,18","4583464,78","2,172,237","41,397,901"
2017S010087    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Sant Joan                                 ,0357 0357,Diumenge,Dg,Laboral,2017,12,Desembre,3,0,Nit,Col.lisió fronto-lateral,"430898,18","4583464,78","2,172,237","41,397,901"
2017S008601    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Roger de Flor                             ,0375 0375,Dimecres,Dc,Laboral,2017,10,Octubre,18,21,Tarda,Col.lisió fronto-lateral,"430980,34","4583547,27","2,173,209","41,398,656"
2017S009775    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova / Londres                                ,0224 0226,Divendres,Dv,Laboral,2017,11,Novembre,24,9,Matí,Col.lisió lateral,"429018,04","4582860,85","2,149,821","41,392,297"
2017S005021    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova / Londres                                ,0224 0226,Dijous,Dj,Laboral,2017,6,Juny,8,13,Matí,Col.lisió lateral,"429018,04","4582860,85","2,149,821","41,392,297"
2017S002582    ,2,Eixample,7,la Dreta de l'Eixample,286606,AV SARRIÀ / Av J Tarradellas                      ,0001 0001,Divendres,Dv,Laboral,2017,3,Març,31,13,Matí,Col.lisió lateral,"430663,63","4583878,36","2,169,379","4,140,161"
