Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S009418    ,-1,Desconegut,-1,Desconegut,-1,Francesc Ferrer i Guàrdia / Sant Jordi            ,Desconegut,Dilluns,Dl,Laboral,2017,11,Novembre,13,16,Tarda,Abast,428572.07,4580031.06,"2,144,821","41,366,779"
2017S008852    ,-1,Desconegut,-1,Desconegut,-1,Valldaura                                         ,284-286   ,Dijous,Dj,Laboral,2017,10,Octubre,26,7,Matí,Col.lisió fronto-lateral,431806.6,4588044.41,"2,182,588","41,439,233"
2017S001023    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,NAVAS DE TOLOSA / Av Meridiana                    ,0203 0205,Dimarts,Dm,Laboral,2017,2,Febrer,7,15,Tarda,Col.lisió lateral,"432116,48","4585382,72","2,186,591","4,141,528"
2017S009198    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,346402,Trinxant / Ruiz de Padrón                         ,0090 0090,Dimarts,Dm,Laboral,2017,11,Novembre,7,14,Tarda,Col.lisió fronto-lateral,"431940,75","4585401,48","2,184,483","41,415,436"
2017S006546    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0330 0332,Dijous,Dj,Laboral,2017,7,Juliol,27,14,Tarda,Abast,"431537,32","4585363,11","2,179,666","4,141,506"
2017S003698    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0272 0274,Dimarts,Dm,Laboral,2017,4,Abril,25,20,Tarda,Caiguda interior vehicle,"431315,37","4585145,28","2,177,034","41,413,077"
2017S004977    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0258 0260,Dimecres,Dc,Laboral,2017,6,Juny,7,11,Matí,Abast,"431235,61","4585067,59","2,176,086","41,412,368"
2017S008080    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0258 0260,Dissabte,Ds,Laboral,2017,9,Setembre,30,19,Tarda,Abast,"431235,61","4585067,59","2,176,086","41,412,368"
2017S004521    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0262 0262,Dilluns,Dl,Laboral,2017,5,Maig,22,12,Matí,Col.lisió lateral,"431255,05","4585086,56","2,176,323","41,412,541"
2017S004180    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,105304,Còrsega / Dos de Maig                             ,0296 0296,Dijous,Dj,Laboral,2017,5,Maig,11,9,Matí,Abast,"431363,56","4584864,48","217,764","4,141,055"
2017S007189    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,310008,Sant Quintí                                       ,0047 0053,Dissabte,Ds,Laboral,2017,8,Agost,26,17,Tarda,Col.lisió lateral,"431393,94","4585181,04","2,177,963","41,413,408"
2017S009138    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,289105,Rosselló / Dos de Maig                            ,0517 0517,Diumenge,Dg,Laboral,2017,11,Novembre,5,1,Nit,Col.lisió fronto-lateral,"431476,18","4584771,97","2,179,003","41,409,722"
2017S008271    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,268003,Provença                                          ,0541 0541,Divendres,Dv,Laboral,2017,10,Octubre,6,18,Tarda,Caiguda (dues rodes),"431571,59","4584668,95","2,180,151","41,408,803"
2017S001925    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,VALÈNCIA                                          ,0577B0577B,Dijous,Dj,Laboral,2017,3,Març,9,13,Matí,Atropellament,"431907,54","4584632,25","2,184,175","41,408,507"
2017S008987    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València                                          ,0580 0580,Dilluns,Dl,Laboral,2017,10,Octubre,30,20,Tarda,Abast,"431894,69","4584587,11","2,184,024","41,408,101"
2017S001292    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,ARAGÓ / Dos de Maig                               ,0592 0600,Dijous,Dj,Laboral,2017,2,Febrer,16,8,Matí,Col.lisió lateral,"431949,27","4584640,66","2,184,676","41,408,583"
2017S009733    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó                                             ,0537 0537,Dijous,Dj,Laboral,2017,11,Novembre,23,8,Matí,Abast,"431877,03","4584413,10","2,183,841","41,406,532"
2017S009818    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó                                             ,0555 0555,Dissabte,Ds,Laboral,2017,11,Novembre,25,17,Tarda,Col.lisió lateral,"431940,62","4584488,01","2,184,586","41,407,213"
2017S003048    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca                                          ,0572 0572,Diumenge,Dg,Laboral,2017,4,Abril,2,21,Tarda,Abast multiple,"431904,00","4584784,62","2,184,122","41,409,876"
2017S007522    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,286300,Meridiana / Aragó                                 ,0001 0001,Diumenge,Dg,Laboral,2017,9,Setembre,10,15,Tarda,Col.lisió lateral,"432097,42","4584637,51","2,186,447","41,408,568"
2017S001990    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,ETERNA MEMÒRIA / Freser                           ,0112B0112B,Dissabte,Ds,Laboral,2017,3,Març,11,12,Matí,Caiguda (dues rodes),"431658,45","4585111,42","2,181,142","414,128"
2017S007207    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda / Concili de Trento                   ,0187 0187,Dilluns,Dl,Laboral,2017,8,Agost,28,8,Matí,Col.lisió frontal,"432848,45","4585214,65","2,195,368","41,413,828"
2017S009473    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda / Guipúscoa                           ,0192B0192B,Dimecres,Dc,Laboral,2017,11,Novembre,15,15,Tarda,Col.lisió fronto-lateral,"432826,86","4585282,47","2,195,097","41,414,439"
2017S006682    ,10,Sant Martí,65,el Clot,1604,Meridiana / Aragó                                 ,0016 0016,Dimecres,Dc,Laboral,2017,8,Agost,2,8,Matí,Col.lisió fronto-lateral,"432170,35","4584619,76","2,187,323","41,408,412"
2017S001864    ,10,Sant Martí,65,el Clot,161101,ARAGÓ / Independència                             ,0261 0261,Dimarts,Dm,Laboral,2017,3,Març,7,11,Matí,Col.lisió lateral,"431960,88","4584412,80","2,184,834","4,140,653"
2017S006347    ,10,Sant Martí,65,el Clot,161101,Independència / Aragó                             ,0265B0265B,Dijous,Dj,Laboral,2017,7,Juliol,20,13,Matí,Col.lisió lateral,"431934,23","4584429,58","2,184,521","41,406,681"
2017S004210    ,10,Sant Martí,65,el Clot,81603,Clot                                              ,0031 0031,Divendres,Dv,Laboral,2017,5,Maig,12,1,Nit,Xoc contra element estàtic,"432204,44","4584474,48","2,187,746","41,407,109"
2017S007379    ,10,Sant Martí,65,el Clot,209900,Independència / Meridiana                         ,0081 0083,Dilluns,Dl,Laboral,2017,9,Setembre,4,14,Tarda,Caiguda (dues rodes),"432102,88","4584254,53","218,655","41,405,119"
2017S004627    ,10,Sant Martí,65,el Clot,209900,Meridiana                                         ,0094 0094,Dijous,Dj,Laboral,2017,5,Maig,25,18,Tarda,Abast,"432156,23","4584503,34","2,187,168","41,407,366"
2017S010616    ,10,Sant Martí,65,el Clot,18505,Aragó                                             ,0560 0560,Dissabte,Ds,Laboral,2017,12,Desembre,23,11,Matí,Abast,"431964,93","4584467,51","2,184,875","41,407,026"
2017S006226    ,10,Sant Martí,72,Sant Martí de Provençals,158504,Bac de Roda / Huelva                              ,0032 0034,Dilluns,Dl,Laboral,2017,7,Juliol,17,11,Matí,Col.lisió lateral,"432727,65","4585404,02","2,193,899","41,415,529"
2017S001891    ,10,Sant Martí,72,Sant Martí de Provençals,153205,RBLA GUIPÚSCOA                                    ,0021B0021B,Dimecres,Dc,Laboral,2017,3,Març,8,10,Matí,Abast,"432727,59","4585261,16","2,193,915","41,414,242"
2017S010663    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Bac de Roda / Guipúscoa                           ,0027 0027,Dimarts,Dm,Laboral,2017,12,Desembre,26,9,Matí,Atropellament,"432752,43","4585285,75","2,194,211","4,141,446"
2017S001909    ,10,Sant Martí,65,el Clot,364200,ARAGÓ / Dos de Maig                               ,0016 0016,Dimecres,Dc,Laboral,2017,3,Març,8,19,Tarda,Col.lisió lateral,"432022,79","4584462,78","218,557","41,406,986"
2017S009398    ,10,Sant Martí,72,Sant Martí de Provençals,158504,Fluvià / Huelva                                   ,0037 0037,Dilluns,Dl,Laboral,2017,11,Novembre,13,11,Matí,Atropellament,"432801,67","4585509,96","2,194,773","41,416,481"
2017S003988    ,10,Sant Martí,65,el Clot,81603,Clot                                              ,0036 0038,Divendres,Dv,Laboral,2017,5,Maig,5,14,Tarda,Xoc contra element estàtic,"432210,21","4584443,01","2,187,821","41,406,831"
2017S010623    ,10,Sant Martí,65,el Clot,89004,Consell de Cent                                   ,0586B0586B,Dissabte,Ds,Laboral,2017,12,Desembre,23,19,Tarda,Col.lisió lateral,"431961,04","4584277,46","2,184,861","41,405,314"
2017S002287    ,10,Sant Martí,65,el Clot,113506,PL GLÒRIES CATALAN                                ,0044 0044,Dimecres,Dc,Laboral,2017,3,Març,22,9,Matí,Col.lisió lateral,"432296,02","4584356,47","2,188,859","41,406,054"
2017S005031    ,10,Sant Martí,65,el Clot,146902,Badajoz                                           ,0019 0019,Dijous,Dj,Laboral,2017,6,Juny,8,13,Matí,Col.lisió lateral,"432172,41","4584181,50","2,187,396","41,404,468"
2017S005846    ,10,Sant Martí,65,el Clot,146902,Corts Catalanes                                   ,0019 0019,Dimarts,Dm,Laboral,2017,7,Juliol,4,20,Tarda,Col.lisió fronto-lateral,"432172,41","4584181,50","2,187,396","41,404,468"
2017S005527    ,10,Sant Martí,65,el Clot,146902,Independència                                     ,0019 0019,Diumenge,Dg,Laboral,2017,6,Juny,25,10,Matí,Col.lisió fronto-lateral,"432172,41","4584181,50","2,187,396","41,404,468"
2017S009846    ,10,Sant Martí,65,el Clot,161101,Independència / Consell de Cent                   ,0243 0243,Diumenge,Dg,Laboral,2017,11,Novembre,26,13,Matí,Col.lisió fronto-lateral,"432002,91","4584366,13","2,185,341","41,406,119"
2017S001842    ,10,Sant Martí,72,Sant Martí de Provençals,267907,RBLA GUIPÚSCOA / Selva de Mar                     ,0292 0292,Dilluns,Dl,Laboral,2017,3,Març,6,15,Tarda,Col.lisió lateral,"432822,07","4585667,88","2,195,006","41,417,906"
2017S004345    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,173406,València                                          ,0002 0004,Dimarts,Dm,Laboral,2017,5,Maig,16,13,Matí,Abast,"432091,96","4584822,63","2,186,355","41,410,234"
2017S000869    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,AV MERIDIANA                                      ,0614 0614,Dimecres,Dc,Laboral,2017,2,Febrer,1,18,Tarda,Col.lisió lateral,"432050,78","4584928,37","2,185,852","41,411,185"
2017S010040    ,10,Sant Martí,65,el Clot,346402,Meridiana / Trinxant                              ,0010 0012,Divendres,Dv,Laboral,2017,12,Desembre,1,13,Matí,Col.lisió lateral,"432169,30","4585179,51","2,187,248","41,413,456"
2017S004465    ,10,Sant Martí,65,el Clot,346402,Meridiana / Trinxant                              ,0010 0012,Dissabte,Ds,Laboral,2017,5,Maig,20,10,Matí,Col.lisió fronto-lateral,"432169,30","4585179,51","2,187,248","41,413,456"
2017S004621    ,10,Sant Martí,65,el Clot,191204,Mallorca / Las Navas de Tolosa                    ,0656 0656,Dijous,Dj,Laboral,2017,5,Maig,25,15,Tarda,Col.lisió lateral,"432341,84","4585211,10","2,189,302","41,413,759"
2017S001562    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,AV MERIDIANA                                      ,0135B0135B,Dissabte,Ds,Laboral,2017,2,Febrer,25,8,Matí,Abast,"432107,33","4584770,47","2,186,552","41,409,767"
2017S000493    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,VALÈNCIA                                          ,0604B0606,Dimecres,Dc,Laboral,2017,1,Gener,18,18,Tarda,Atropellament,"432030,97","4584721,23","2,185,636","41,409,319"
2017S008873    ,10,Sant Martí,65,el Clot,153205,Guipúscoa                                         ,0001A0001A,Dijous,Dj,Laboral,2017,10,Octubre,26,20,Tarda,Atropellament,"432593,28","4585139,30","2,192,325","41,413,131"
2017S009179    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València / Meridiana                              ,0619 0619,Dimarts,Dm,Laboral,2017,11,Novembre,7,8,Matí,Atropellament,"432103,78","4584824,29","2,186,498","41,410,253"
2017S001809    ,10,Sant Martí,65,el Clot,10208,ARAGÓ                                             ,0008 0008,Diumenge,Dg,Laboral,2017,3,Març,5,1,Nit,Col.lisió fronto-lateral,"432190,80","4584817,34","218,754","41,410,197"
2017S003560    ,10,Sant Martí,65,el Clot,18505,Aragó                                             ,0623 0623,Divendres,Dv,Laboral,2017,4,Abril,21,12,Matí,Abast,"432197,28","4584739,41","2,187,632","41,409,495"
2017S006881    ,10,Sant Martí,65,el Clot,18505,Aragó / Muntanya                                  ,0637 0637,Dijous,Dj,Laboral,2017,8,Agost,10,8,Matí,Col.lisió fronto-lateral,"432310,20","4584849,17","2,188,972","41,410,496"
2017S009764    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes                                   ,0871 0871,Dijous,Dj,Laboral,2017,11,Novembre,23,21,Tarda,Abast,"432562,44","4584523,33","2,192,023","41,407,581"
2017S007464    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes                                   ,0871 0871,Dijous,Dj,Laboral,2017,9,Setembre,7,21,Tarda,Caiguda interior vehicle,"432562,44","4584523,33","2,192,023","41,407,581"
2017S001696    ,10,Sant Martí,65,el Clot,209900,VALÈNCIA / Av Meridiana                           ,0144 0144,Dimecres,Dc,Laboral,2017,3,Març,1,16,Tarda,Caiguda (dues rodes),"432159,75","4584770,81","2,187,174","41,409,771"
2017S008875    ,10,Sant Martí,65,el Clot,42306,Bilbao / Verneda                                  ,0241 0241,Dijous,Dj,Laboral,2017,10,Octubre,26,19,Tarda,Col.lisió lateral,"432527,01","4584971,56","2,191,554","41,411,613"
2017S006956    ,10,Sant Martí,65,el Clot,223209,Municipi                                          ,0020 0020,Diumenge,Dg,Laboral,2017,8,Agost,13,10,Matí,Col.lisió fronto-lateral,"432441,43","4584724,20","2,190,553","41,409,381"
2017S007340    ,10,Sant Martí,65,el Clot,305507,Sant Joan de Malta                                ,0016 0018,Dissabte,Ds,Laboral,2017,9,Setembre,2,10,Matí,Xoc contra element estàtic,"432542,92","4584713,64","2,191,762","4,140,929"
2017S003611    ,10,Sant Martí,65,el Clot,191204,Mallorca / Trinxant                               ,0615 0617,Dissabte,Ds,Laboral,2017,4,Abril,22,16,Tarda,Col.lisió fronto-lateral,"432194,62","4585098,99","2,187,556","41,412,729"
2017S004056    ,10,Sant Martí,65,el Clot,209900,Meridiana / Trinxant                              ,0190 0192,Dilluns,Dl,Laboral,2017,5,Maig,8,9,Matí,Col.lisió lateral,"432163,69","4585132,63","2,187,181","41,413,032"
2017S008103    ,10,Sant Martí,65,el Clot,226400,Las Navas de Tolosa / Múrcia                      ,0289B0291,Diumenge,Dg,Laboral,2017,10,Octubre,1,21,Tarda,Abast,"432192,23","4585315,15","2,187,508","41,414,683"
2017S006576    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,224802,Nació                                             ,0001 0001,Divendres,Dv,Laboral,2017,7,Juliol,28,17,Tarda,Abast,"432094,47","4585060,34","2,186,364","41,412,378"
2017S002288    ,10,Sant Martí,70,el Besòs i el Maresme,701265,RDA LITORAL(LLOBRE                                ,560000,Dimecres,Dc,Laboral,2017,3,Març,22,10,Matí,Abast multiple,"434994,58","4584632,43","2,221,106","41,408,763"
2017S002566    ,10,Sant Martí,70,el Besòs i el Maresme,701265,RDA LITORAL(LLOBRE                                ,580000,Divendres,Dv,Laboral,2017,3,Març,31,7,Matí,Col.lisió lateral,"434882,87","4584464,92","2,219,784","41,407,241"
2017S004022    ,10,Sant Martí,70,el Besòs i el Maresme,701266,Litoral (Llobregat)                               ,550000,Dissabte,Ds,Laboral,2017,5,Maig,6,19,Tarda,Abast,"435017,20","4584731,20","222,137","41,409,657"
2017S005436    ,10,Sant Martí,70,el Besòs i el Maresme,701278,Llevant / Taulat                                  ,0280X0280X,Dimecres,Dc,Laboral,2017,6,Juny,21,10,Matí,Col.lisió fronto-lateral,"434861,82","4584886,94","2,219,487","4,141,104"
2017S003639    ,10,Sant Martí,70,el Besòs i el Maresme,124309,Alfons el Magnànim / Ferrer Bassa                 ,0011 0011,Dilluns,Dl,Laboral,2017,4,Abril,24,0,Nit,Col.lisió fronto-lateral,"434527,17","4585450,98","221,543","41,416,093"
2017S010528    ,10,Sant Martí,70,el Besòs i el Maresme,701449,Eduard Maristany / Sant Ramon de Penyafort        ,0013X0013X,Dissabte,Ds,Laboral,2017,12,Desembre,16,13,Matí,Col.lisió lateral,"434982,66","4585158,54","2,220,906","414,135"
2017S003436    ,10,Sant Martí,73,la Verneda i la Pau,69700,Ca n'Oliva / Corts Catalanes                      ,0001B0001B,Dilluns,Dl,Laboral,2017,4,Abril,17,12,Matí,Atropellament,"434004,15","4585970,44","2,209,116","41,420,733"
2017S004279    ,10,Sant Martí,73,la Verneda i la Pau,266405,Corts Catalanes / Prim                            ,0160 0160,Diumenge,Dg,Laboral,2017,5,Maig,14,4,Nit,Xoc contra element estàtic,"433936,89","4585919,18","2,208,308","41,420,268"
2017S000042    ,10,Sant Martí,70,el Besòs i el Maresme,701612,AV LITORAL                                        ,0003 0003,Dimarts,Dm,Laboral,2017,1,Gener,3,0,Nit,Xoc contra element estàtic,"435045,77","4584884,14","2,221,689","41,411,037"
2017S004130    ,10,Sant Martí,70,el Besòs i el Maresme,701612,Sant Ramon de Penyafort                           ,0005U0005U,Dimarts,Dm,Laboral,2017,5,Maig,9,18,Tarda,Abast,"435119,63","4585034,79","2,222,558","41,412,394"
2017S006748    ,10,Sant Martí,72,Sant Martí de Provençals,342503,Andrade / Treball                                 ,0197 0197,Divendres,Dv,Laboral,2017,8,Agost,4,5,Nit,Col.lisió fronto-lateral,"433345,89","4585479,23","2,201,285","41,416,257"
2017S007144    ,10,Sant Martí,73,la Verneda i la Pau,153205,Guipúscoa                                         ,0120X0120X,Dimecres,Dc,Laboral,2017,8,Agost,23,20,Tarda,Caiguda (dues rodes),"433463,81","4585920,96","2,202,648","41,420,238"
2017S008525    ,10,Sant Martí,73,la Verneda i la Pau,153205,Guipúscoa / Maresme                               ,0138 0138,Dimarts,Dm,Laboral,2017,10,Octubre,17,0,Nit,Col.lisió frontal,"433561,94","4586017,93","220,381","4,142,112"
2017S004880    ,10,Sant Martí,73,la Verneda i la Pau,318906,Santander                                         ,0057 0061,Divendres,Dv,Laboral,2017,6,Juny,2,21,Tarda,Col.lisió lateral,"433415,11","4586758,70","2,201,981","41,427,782"
2017S010050    ,10,Sant Martí,73,la Verneda i la Pau,318906,Santander                                         ,0063A0063A,Divendres,Dv,Laboral,2017,12,Desembre,1,18,Tarda,Abast,"433497,89","4586886,49","2,202,949","41,428,942"
2017S007458    ,10,Sant Martí,73,la Verneda i la Pau,343200,Santander / Trajana                               ,0042 0042,Dijous,Dj,Laboral,2017,9,Setembre,7,18,Tarda,Col.lisió lateral,"433467,60","4586866,04","2,202,592","41,428,759"
2017S010163    ,10,Sant Martí,72,Sant Martí de Provençals,60807,Cantàbria                                         ,0001 0001,Dimarts,Dm,Laboral,2017,12,Desembre,5,20,Tarda,Atropellament,"433599,93","4585595,28","2,204,311","41,417,322"
2017S001734    ,10,Sant Martí,73,la Verneda i la Pau,195409,RBLA PRIM / Rbla Guipúscoa                        ,0252 0252,Dijous,Dj,Laboral,2017,3,Març,2,15,Tarda,Col.lisió fronto-lateral,"433586,23","4586029,33","2,204,108","4,142,123"
2017S010221    ,10,Sant Martí,73,la Verneda i la Pau,266405,Prim / Concili de Trento                          ,0147 0149,Dissabte,Ds,Laboral,2017,12,Desembre,9,19,Tarda,Abast,"433712,78","4586031,90","2,205,615","41,421,259"
2017S003128    ,10,Sant Martí,73,la Verneda i la Pau,69700,Ca n'Oliva                                        ,0048 0048,Dimecres,Dc,Laboral,2017,4,Abril,5,1,Nit,Xoc contra element estàtic,"433647,43","4586347,39","2,204,803","41,424,099"
2017S006800    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Agricultura / Guipúscoa                           ,0096B0096B,Diumenge,Dg,Laboral,2017,8,Agost,6,5,Nit,Xoc contra element estàtic,"433303,26","4585765,46","2,200,751","41,418,829"
2017S006406    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa                                         ,0077 0077,Dissabte,Ds,Laboral,2017,7,Juliol,22,12,Matí,Abast,"433202,01","4585724,59","2,199,547","41,418,451"
2017S003617    ,10,Sant Martí,73,la Verneda i la Pau,266405,Prim / Santander                                  ,0252 0252,Dissabte,Ds,Laboral,2017,4,Abril,22,20,Tarda,Col.lisió lateral,"433325,06","4586516,86","2,200,931","41,425,595"
2017S003793    ,10,Sant Martí,73,la Verneda i la Pau,57802,Binèfar / Camp Arriassa                           ,0084 0084,Divendres,Dv,Laboral,2017,4,Abril,28,16,Tarda,Col.lisió fronto-lateral,"433507,26","4586389,99","2,203,123","41,424,466"
2017S000953    ,10,Sant Martí,70,el Besòs i el Maresme,270107,PUJADES                                           ,0109 0109,Dissabte,Ds,Laboral,2017,2,Febrer,4,13,Matí,Col.lisió fronto-lateral,"434191,62","4585187,63","2,211,439","41,413,696"
2017S007624    ,10,Sant Martí,70,el Besòs i el Maresme,266405,Llull / Prim                                      ,0029B0029B,Dijous,Dj,Laboral,2017,9,Setembre,14,20,Tarda,Col.lisió frontal,"434661,61","4585059,20","2,217,076","41,412,582"
2017S000613    ,10,Sant Martí,71,Provençals del Poblenou,242906,SELVA DE MAR / Pere IV                            ,0445U0445U,Dilluns,Dl,Laboral,2017,1,Gener,23,20,Tarda,Col.lisió fronto-lateral,"434173,94","4584936,97","2,211,251","41,411,434"
2017S008327    ,10,Sant Martí,71,Provençals del Poblenou,249304,Pere IV / Agricultura                             ,0462 0462,Dilluns,Dl,Laboral,2017,10,Octubre,9,15,Tarda,Col.lisió fronto-lateral,"433770,63","4585228,89","2,206,397","41,414,031"
2017S004843    ,10,Sant Martí,70,el Besòs i el Maresme,186703,Llull                                             ,0386 0386,Divendres,Dv,Laboral,2017,6,Juny,2,6,Matí,Atropellament,"434579,17","4584909,22","2,216,111","41,411,224"
2017S004463    ,10,Sant Martí,71,Provençals del Poblenou,44403,Josep Pla / Pere IV                               ,0316 0316,Dissabte,Ds,Laboral,2017,5,Maig,20,9,Matí,Col.lisió fronto-lateral,"433845,60","4585341,08","2,207,282","41,415,055"
2017S004190    ,10,Sant Martí,70,el Besòs i el Maresme,266405,Cristóbal de Moura / Prim                         ,0090 0090,Dijous,Dj,Laboral,2017,5,Maig,11,15,Tarda,Caiguda (dues rodes),"434368,18","4585448,39","2,213,528","41,416,062"
2017S008837    ,10,Sant Martí,68,el Poblenou,183603,Doctor Trueta / Llacuna                           ,0011 0011,Dimecres,Dc,Laboral,2017,10,Octubre,25,17,Tarda,Abast,"433428,06","4583480,07","2,202,498","41,398,259"
2017S003516    ,10,Sant Martí,68,el Poblenou,29603,Aymà / Perelló                                    ,0016 0016,Dijous,Dj,Laboral,2017,4,Abril,20,8,Matí,Col.lisió lateral,"433619,40","4583372,56","2,204,794","41,397,302"
2017S005938    ,10,Sant Martí,68,el Poblenou,55501,Calvell                                           ,0039 0039,Divendres,Dv,Laboral,2017,7,Juliol,7,16,Tarda,Altres,"433855,21","4583549,03","2,207,598","41,398,916"
2017S004318    ,10,Sant Martí,68,el Poblenou,55501,Calvell / Jonquera                                ,0057 0057,Dilluns,Dl,Laboral,2017,5,Maig,15,16,Tarda,Abast,"433877,91","4583594,71","2,207,856","41,399,323"
2017S008287    ,10,Sant Martí,68,el Poblenou,700654,B-10 (Besòs)                                      ,0064 0064,Dissabte,Ds,Laboral,2017,10,Octubre,7,20,Tarda,Abast,"433685,58","4583040,05","220,562","41,394,317"
2017S008378    ,10,Sant Martí,68,el Poblenou,700662,B-10 (Llobregat)                                  ,0097 0097,Dimecres,Dc,Laboral,2017,10,Octubre,11,8,Matí,Abast,"433480,42","4582953,45","2,203,178","41,393,517"
2017S001412    ,10,Sant Martí,68,el Poblenou,123601,CARMEN AMAYA / Bisbe J Climent                    ,0012 0012,Dilluns,Dl,Laboral,2017,2,Febrer,20,16,Tarda,Col.lisió fronto-lateral,"433601,90","4583420,32","2,204,574","41,397,733"
2017S000073    ,10,Sant Martí,68,el Poblenou,270901,PALLARS                                           ,0093B0093B,Dimecres,Dc,Laboral,2017,1,Gener,4,11,Matí,Abast,"432842,66","4583443,77","2,195,493","41,397,877"
2017S004759    ,10,Sant Martí,71,Provençals del Poblenou,144601,Diagonal                                          ,0149X0149X,Dimarts,Dm,Laboral,2017,5,Maig,30,15,Tarda,Abast,"433076,94","4584365,62","219,819","41,406,201"
2017S003352    ,10,Sant Martí,71,Provençals del Poblenou,200600,Marroc                                            ,0033 0033,Dimecres,Dc,Laboral,2017,4,Abril,12,20,Tarda,Col.lisió fronto-lateral,"433202,22","4584544,05","2,199,677","41,407,823"
2017S006120    ,10,Sant Martí,71,Provençals del Poblenou,253902,Corts Catalanes                                   ,0273B0273B,Dijous,Dj,Laboral,2017,7,Juliol,13,21,Tarda,Atropellament,"433553,99","4585347,67","2,203,788","41,415,085"
2017S001907    ,10,Sant Martí,71,Provençals del Poblenou,253902,PERÚ                                              ,0122 0134,Dimecres,Dc,Laboral,2017,3,Març,8,20,Tarda,Caiguda (dues rodes),"433136,37","4584824,75","2,198,857","4,141,034"
2017S005979    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes / Espronceda                      ,20700000,Dilluns,Dl,Laboral,2017,7,Juliol,10,2,Nit,Bolcada (més de dues rodes),"433010,80","4584901,86","2,197,341","41,411,023"
2017S008115    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes / Espronceda                      ,20700000,Dilluns,Dl,Laboral,2017,10,Octubre,2,9,Matí,Col.lisió fronto-lateral,"433010,80","4584901,86","2,197,341","41,411,023"
2017S008930    ,10,Sant Martí,71,Provençals del Poblenou,701414,Espronceda / Corts Catalanes                      ,20700000,Dissabte,Ds,Laboral,2017,10,Octubre,28,13,Matí,Altres,"433010,80","4584901,86","2,197,341","41,411,023"
2017S008931    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes                                   ,20640000,Dissabte,Ds,Laboral,2017,10,Octubre,28,17,Tarda,Abast,"432576,29","4584481,55","2,192,195","41,407,204"
2017S002083    ,10,Sant Martí,71,Provençals del Poblenou,44403,BAC DE RODA / Bolívia                             ,0228 0228,Dimecres,Dc,Laboral,2017,3,Març,15,10,Matí,Col.lisió lateral,"433319,70","4584815,14","2,201,047","41,410,274"
2017S003100    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes / Selva de Mar                    ,20750000,Dimarts,Dm,Laboral,2017,4,Abril,4,10,Matí,Col.lisió lateral,"433366,47","4585249,15","2,201,561","41,414,187"
2017S005878    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes / Selva de Mar                    ,20750000,Dimecres,Dc,Laboral,2017,7,Juliol,5,16,Tarda,Col.lisió lateral,"433366,47","4585249,15","2,201,561","41,414,187"
